ra,dec,u,g,r,i,z,redshift
201.272362641094,-0.903119484998656,16.49724,14.95387,14.23579,13.85523,13.57625,0.01808668
217.394196789285,-0.0182377339389632,15.4657,14.38725,14.03195,13.83978,13.80825,0.005175699
184.207459117448,65.8298779867901,16.64801,15.0025,14.20497,13.81354,13.52295,0.008761541
130.039472403673,52.4559660295776,15.83253,13.99374,13.17442,12.7342,12.43323,0.0165656
200.346166314391,0.342420268203473,15.8206,14.09433,13.16303,12.69433,12.34099,0.01842461
244.09803783523,47.033985557014,16.87299,16.53722,16.96545,17.41944,17.50562,0.002372199
244.074590369948,47.0453234129912,15.44775,14.18678,14.01814,13.71383,13.6085,0.002435695
243.326920611716,48.3918487806307,17.21282,16.29264,16.02601,15.88494,15.78189,0.01990031
171.361449075965,65.7686442914865,18.15442,17.58545,17.44769,17.55194,17.54878,0.003731414
150.664835263006,64.3722602046882,18.98741,17.73091,17.17509,16.85969,16.58729,0.01546211
134.20294942791,55.7615935784639,18.39845,16.99052,16.53961,16.35358,16.23876,0.01505108
206.466502200008,65.3859785117183,17.24357,16.01134,15.53826,15.368,15.30114,0.005662875
238.14782821475,56.9345180491328,17.93931,17.15097,16.87465,16.76625,16.63708,0.01366034
227.755567970012,1.68058986552544,18.61813,16.97633,16.31073,16.006,15.80066,0.005516197
159.008593829317,0.989043818179899,18.88399,17.93596,17.52995,17.35832,17.26085,0.01894327
174.861792176862,3.47113525651175,16.22,14.89364,14.28981,13.98201,13.73947,0.01908033
337.590899322691,-9.42039137556619,18.8822,17.65165,17.1545,16.95199,16.83232,0.01559541
26.7379359693008,-10.5345194865094,16.17712,15.12208,14.67536,14.44373,14.26523,0.0181166
11.5034874991958,-9.45394214798096,18.51751,16.93632,16.26051,15.90919,15.69326,0.01965265
11.5108305013269,-8.88491702561876,17.1588,15.88959,15.39947,15.12865,14.95376,0.01976209
44.2682120495755,-7.68564632746686,15.67834,14.37261,13.685,13.31433,13.05775,0.01730411
48.9109549348137,-7.07883326980349,16.87955,15.67959,15.13191,14.87803,14.66777,0.0131678
312.384053022783,-6.44519309380243,19.07408,17.30239,16.4963,16.10635,15.8203,0.01990154
310.461974613205,-4.90695687712922,18.00523,17.02597,16.57198,16.36176,16.18745,0.01298313
359.904203595285,14.8078060791813,14.09792,13.17056,12.83297,12.65733,12.56759,0.005843426
17.4174422339672,-9.37797723595206,18.57014,17.49923,17.07487,16.92763,16.75009,0.01647007
6.251019456054,14.0686284134038,18.76843,17.59382,17.10796,16.87739,16.72123,0.0176085
26.7465078738651,13.1251322241058,15.81707,14.25373,13.45576,13.05655,12.73887,0.01836346
166.492454351845,63.8545321092432,18.73246,17.71937,17.43069,17.32349,17.21747,0.01481847
163.818229754557,5.20608485270865,17.45613,16.36867,15.9559,15.75358,15.67493,0.01954344
131.654582266939,2.82703370126745,18.06767,16.98882,16.52744,16.29694,16.1613,0.01321364
160.912609152852,4.97048093618182,16.67398,15.3065,14.75999,14.47771,14.26431,0.01918732
163.802573412249,5.86258941895207,16.3933,15.38145,14.90317,14.69985,14.51816,0.01165134
134.219311788178,47.9898971336964,18.45664,16.71836,15.8886,15.43551,15.06674,0.01788575
134.185573404088,48.1168230682464,17.87769,16.79144,16.31421,16.07518,15.86976,0.01771022
159.028883900136,-0.383417295298883,17.99942,16.92984,16.58208,16.31758,16.09189,0.01683272
171.329368036977,63.7292305924584,15.26088,13.9018,13.35846,13.05859,12.94233,0.01242265
217.412576404329,3.26630813452859,15.1713,13.84781,13.05117,12.71058,12.52453,0.005505524
217.418545291403,4.06261501985922,25.71455,16.27442,16.00975,15.90833,15.83008,0.007871658
233.809435951284,57.514763692604,17.48797,15.99706,15.52486,15.28932,15.22077,0.01032678
227.712628265838,61.1478149099862,16.75421,15.64078,15.31197,15.16359,15.03437,0.008411853
236.14342447505,57.2121496004284,17.69161,16.56304,16.12323,15.89147,15.83502,0.01187031
200.318729676342,57.8983133792433,17.24905,16.35103,16.1288,16.07437,16.22195,0.007100593
131.660766423389,45.5959004803572,18.12284,17.23283,16.88581,16.73313,16.59093,0.01383033
194.861560586348,59.2930527458265,18.5416,17.49255,17.16629,17.00224,16.92345,0.009533254
174.051245552518,59.9765094539061,16.05273,14.5536,13.86814,13.52737,13.2811,0.0109964
174.862990534173,60.1728463437056,17.61904,16.43928,16.11546,15.91039,16.03234,0.004217767
174.870995563738,60.5460426532956,16.68404,15.20344,14.48765,14.08321,13.80535,0.01157775
238.880934266992,47.855606929817,18.11128,17.0283,16.59863,16.39375,16.21625,0.01721418
238.881327997839,47.6773441029718,19.26543,17.61897,16.92132,16.59112,16.36478,0.01832484
238.912877396053,47.6619532593029,18.38722,16.965,16.28072,15.95383,15.75328,0.01942271
238.932147146629,49.535022488464,16.28406,15.21496,14.627,14.34805,14.09306,0.01922478
180.550852352734,62.1372435044281,13.58559,12.09589,11.36667,11.03771,10.79639,0.004034979
238.891323266146,48.0224000207893,17.88947,16.14207,15.37952,15.002,14.73137,0.01951941
200.380265650126,62.2434148386451,17.69896,16.65908,16.3193,16.1812,16.08028,0.01004128
227.743491709841,1.43778607495278,17.41675,16.09698,15.52773,15.33681,15.4,0.005231335
311.566337614609,-0.222161027634842,16.09839,14.41343,13.66975,13.2764,12.97717,0.01251213
212.738966073424,6.36485319062871,15.34119,13.69019,12.9139,12.48632,12.1018,0.01965321
212.740751262058,6.37171626970687,17.28787,15.5514,14.87201,14.49928,14.17924,0.0197079
5.20244033340862,14.2244058380323,17.41649,16.29412,15.77197,15.5227,15.27302,0.0178267
0.264988609624424,14.5801850945356,18.03885,17.34877,17.27536,17.56558,17.42681,0.005717654
20.9781041773794,0.282351430457016,16.31256,15.20017,14.72173,14.45392,14.20944,0.01830711
331.309359817343,-0.648267137034693,16.1011,14.10396,13.22733,12.79186,12.51248,0.01596201
311.456524469367,0.177976368264358,16.44661,14.7468,13.93486,13.50748,13.15264,0.01360711
311.567704819825,0.0887532204141644,18.64227,17.47182,16.99289,16.7568,16.59289,0.01197873
